Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
2553	1.361	297.4	P	1.361
6965	0.839	39.75	P	0.839
972	0.716	371.4	P	0.716
4671	0.971	"7,888"	P	0.971
18267	0.583	376.6	P	0.583
8477	1.169	"4,609"	P	1.169
17203	0.826	"4,554"	P	0.826
22277		12.06	A	0.552
24137	1.724	596.1	P	1.724
3066		12.63	A	3.847
2350	0.891	"6,074"	P	0.891
39409	0.994	"59,831"	P	0.994
3116		4.348	A	1.422
12487	1.114	"2,198"	P	1.114
3055	1.071	566.1	P	1.071
22181		4.174	A	0.726
7133	1.196	38.43	P	1.196
21719	1.02	"18,908"	P	1.02
29103	0.94	30.98	P	0.94
8810		15.66	A	0.56
24004	0.977	658.3	P	0.977
14742	1.09	667.9	P	1.09
16189	1.567	242.9	P	1.567
73		10.54	A	0.499
16223	1.039	28.23	P	1.039
4833	0.887	63.92	P	0.887
3269	2.141	33.01	M	2.141
15544	0.569	"1,296"	P	0.569
233	0.97	"5,755"	P	0.97
18461	0.64	218.4	P	0.64
26458	1.642	877.3	P	1.642
5987	1.359	168.8	P	1.359
9433	0.942	"1,427"	P	0.942
4819	1.132	"8,892"	P	1.132
7150	0.796	"1,520"	P	0.796
31458	0.593	273.8	P	0.593
19139		3.899	A	1.398
10340	1.04	"1,071"	P	1.04
9692		4.989	A	1.481
37264	1.442	44.38	P	1.442
3354	1.031	708.5	P	1.031
2804	1.517	457.6	P	1.517
29367		4.388	A	1.227
1231	0.634	58.21	P	0.634
1739	1.806	562.2	P	1.806
15659	1.31	54.72	P	1.31
13132	0.942	"8,274"	P	0.942
31411		4.532	A	0.253
5088	1.411	"5,820"	P	1.411
32420	1.812	"1,819"	P	1.812
35106	0.897	137.5	P	0.897
21417	0.688	"1,116"	P	0.688
948	0.822	27.19	P	0.822
8779	0.685	"1,937"	P	0.685
22809	0.634	204.7	P	0.634
29738	1.646	715.9	P	1.646
12151	1.661	46.94	P	1.661
24054	1.01	"9,369"	P	1.01
22685	0.855	26.51	P	0.855
15511	0.917	308.1	P	0.917
7990	0.873	"29,944"	P	0.873
5880	0.828	"10,517"	P	0.828
11568	1.705	25.98	P	1.705
22750	1.219	999.7	P	1.219
6637	1.747	285.2	P	1.747
21966		3.916	A	0.711
22271	0.998	"3,407"	P	0.998
5680	0.773	"1,060"	P	0.773
557	0.932	"1,075"	P	0.932
7802	1.225	72.97	P	1.225
8139	0.97	"2,571"	P	0.97
11510	1.659	41.07	P	1.659
4260	1.292	286.4	P	1.292
1669		4.857	A	1.433
22504	0.916	"2,076"	P	0.916
4893		8.878	A	0.657
13073	1.887	50.89	P	1.887
37501	1.365	310.2	P	1.365
11614	0.815	"2,642"	P	0.815
13172		3.977	A	1.402
16660	0.882	"2,161"	P	0.882
1225		4.944	A	1.462
1667		6.78	A	0.825
19033	1.03	"2,306"	P	1.03
407	1.648	459.7	P	1.648
33952	0.803	"1,061"	P	0.803
10548	1.434	"1,068"	P	1.434
7087		4.932	A	0.18
19233	0.544	600.2	P	0.544
7369	0.87	583.4	P	0.87
230		5.111	A	1.447
27391	0.464	74.55	P	0.464
22901	1.271	29.77	P	1.271
4781	0.561	94.16	P	0.561
19603		3.659	A	1.382
21853	1.622	599.8	P	1.622
13307	0.987	144.9	P	0.987
19437	0.896	517.2	P	0.896
1028	1.013	"3,668"	P	1.013
5890		4.683	A	1.399
9087	0.888	779.2	P	0.888
13157		3.983	A	1.076
22940	0.858	142.8	P	0.858
2722	1.195	55.36	P	1.195
20822	1.027	"1,096"	P	1.027
12803	1.669	"68,185"	P	1.669
29780	1.056	"1,155"	P	1.056
7898	1.408	53.04	P	1.408
5406	1.003	35.29	P	1.003
22962	0.714	310.3	P	0.714
4944	0.835	253.1	P	0.835
13137	1.184	140.4	P	1.184
13201	1.459	"51,861"	P	1.459
36251	1.016	53.14	P	1.016
4921	1.446	33.08	P	1.446
16695		8.832	A	3.308
11997	1.316	"7,581"	P	1.316
14137		3.944	A	1.442
32482	0.658	"1,320"	P	0.658
11424	1.552	"2,546"	P	1.552
10112	0.971	"3,470"	P	0.971
18839	1.034	"1,614"	P	1.034
8383	1.075	605.1	P	1.075
20880	0.878	404.2	P	0.878
9203		11.87	A	1.321
6595	1.077	"1,172"	P	1.077
15300	0.879	634.9	P	0.879
2603	1.202	534.4	P	1.202
28925	0.787	152	P	0.787
2766	0.409	28.3	P	0.409
9242		4.29	A	1.387
29758	4.777	27.16	P	4.777
6031	1.066	"8,058"	P	1.066
1271	0.881	"1,468"	P	0.881
640	1.151	"1,037"	P	1.151
3905	1.668	"1,146"	P	1.668
5977	0.832	101.6	P	0.832
39399		5.421	A	1.528
10402	0.591	"1,992"	P	0.591
18231	0.844	180	P	0.844
29063	0.841	"6,325"	P	0.841
13566	1.064	241.2	P	1.064
1458		5.594	A	1.309
8214	0.778	327.9	P	0.778
30040		3.735	A	1.396
23961	1.082	"7,571"	P	1.082
15082	0.795	"1,434"	P	0.795
34833	0.781	97.05	P	0.781
27335	0.862	67.8	P	0.862
13665	1.621	"89,484"	P	1.621
3719	1.422	"2,256"	P	1.422
12222	0.54	34.88	P	0.54
15668	1.399	376.1	P	1.399
2993	0.508	667.9	P	0.508
39257	0.775	"2,578"	P	0.775
20758		3.604	A	1.405
1648	1.072	"7,538"	P	1.072
30337	0.826	974.8	P	0.826
29318	1.46	"3,195"	P	1.46
15111	1.422	"188,036"	P	1.422
7616	0.354	21.82	P	0.354
12215	0.973	292.6	P	0.973
9484		4.198	A	1.392
32433	0.935	"2,797"	P	0.935
10055	1.96	102.9	P	1.96
8231	1.061	824.5	P	1.061
11123	1.284	97.94	P	1.284
20976		6.322	A	1.134
11749	0.517	338	P	0.517
21424	1.183	565.5	P	1.183
18346	1.084	442.5	P	1.084
4913	1.169	"1,007"	P	1.169
6159	1.097	55.88	P	1.097
4907	0.813	"3,766"	P	0.813
17430	1.053	"3,584"	P	1.053
3764	0.313	25.97	P	0.313
8324	1.433	937.6	P	1.433
16986	1.076	"3,179"	P	1.076
492	0.743	733.9	P	0.743
17911	2.008	513	P	2.008
9999	0.442	98.95	P	0.442
15610	1.716	30.29	P	1.716
30746		4.428	A	1.633
8084		4.576	A	1.397
36520	1.243	"35,773"	P	1.243
3652	0.661	553.9	P	0.661
17892	1.3	19.77	P	1.3
6744		19.8	A	1.225
24293	0.991	"5,964"	P	0.991
15757	1.943	189.7	P	1.943
7143		17.34	A	0.313
2204	0.69	"6,395"	P	0.69
11816	1.006	"6,573"	P	1.006
7017		12.51	A	0.251
